Epoch,Training_Loss
1,1.4212835757865518
2,0.7306787359532971
3,0.45783851942435133
4,0.37868926957779125
5,0.3388669996470364
6,0.3078720546918472
7,0.28436574419289073
8,0.2790426763559356
9,0.2500329246451407
10,0.23346785300879308
11,0.2207852385106123
12,0.20231520509356773
13,0.19156192708287748
14,0.19600029386163967
15,0.17945160548472164
16,0.17687997919729517
17,0.17401366193925366
18,0.16134969304849955
19,0.1554429931707945
20,0.15360584271702973
21,0.15030204600224337
22,0.14393733309458961
23,0.14593705360016546
24,0.14372921540274233
25,0.14236753772433638
26,0.13647828072422954
27,0.1336096015754085
28,0.13523930813266238
29,0.13324368558824062
30,0.13020108259155364
31,0.12955081338998933
32,0.12924914106461904
33,0.12430099846539915
34,0.12274425598759639
35,0.1231076402996246
36,0.12100047607277402
37,0.11772527434120929
38,0.12217457822245087
39,0.11749515048497673
40,0.11801569610077718
Final_Top1_Accuracy,94.96%
